id,name,target,equipment,movement_pattern,tracking_type,confidence
"0675","reverse hyper extension (on stability ball)","glutes","stability ball","isolation","reps","0.60"
"1423","reverse hyper on flat bench","glutes","body weight","hip_dominant","reps","0.50"
"2571","rocking frog stretch","glutes","body weight","hip_dominant","reps","0.50"
"2208","roller back stretch","spine","roller","hip_dominant","reps","0.50"
"2205","roller hip lat stretch","glutes","roller","hip_dominant","reps","0.50"
"2202","roller hip stretch","glutes","roller","hip_dominant","reps","0.50"
"0685","run","cardiovascular system","body weight","isolation","distance","0.40"
"0684","run (equipment)","cardiovascular system","body weight","isolation","distance","0.40"
"1585","runners stretch","hamstrings","body weight","hip_dominant","reps","0.50"
"3219","scissor jumps (male)","cardiovascular system","body weight","isolation","time","0.40"
"1424","seated glute stretch","glutes","body weight","hip_dominant","reps","0.50"
"2567","seated piriformis stretch","glutes","body weight","hip_dominant","reps","0.50"
"1587","seated wide angle pose sequence","hamstrings","body weight","hip_dominant","reps","0.50"
"0697","self assisted inverse leg curl","hamstrings","body weight","isolation","reps","0.60"
"1766","self assisted inverse leg curl","hamstrings","body weight","isolation","reps","0.60"
"0696","self assisted inverse leg curl (on floor)","hamstrings","body weight","isolation","reps","0.60"
"3656","short stride run","cardiovascular system","body weight","isolation","distance","0.40"
"0716","side push neck stretch","levator scapulae","body weight","isolation","reps","0.40"
"3645","single leg bridge with outstretched leg","glutes","body weight","hip_dominant","reps","0.50"
"0730","single leg platform slide","hamstrings","body weight","hip_dominant","reps","0.50"
"3361","skater hops","cardiovascular system","body weight","isolation","time","0.40"
"3671","ski step","cardiovascular system","body weight","isolation","distance","0.40"
"0740","sled 45в° leg wide press","glutes","sled machine","hip_dominant","reps","0.50"
"0759","smith incline shoulder raises","serratus anterior","smith machine","isolation","reps","0.40"
"0776","snatch pull","quads","barbell","knee_dominant","reps","0.55"
"1362","sphinx","spine","body weight","hip_dominant","reps","0.50"
"0778","spider crawl push up","glutes","body weight","hip_dominant","reps","0.50"
"1363","spine stretch","spine","body weight","hip_dominant","reps","0.50"
"1599","standing hamstring and calf stretch with strap","hamstrings","rope","hip_dominant","reps","0.50"
"1364","standing pelvic tilt","spine","body weight","hip_dominant","reps","0.50"
"0795","standing single leg curl","hamstrings","body weight","isolation","reps","0.60"
"3223","star jump (male)","cardiovascular system","body weight","isolation","time","0.40"
"2138","stationary bike run v. 3","cardiovascular system","stationary bike","isolation","distance","0.40"
"0798","stationary bike walk","cardiovascular system","leverage machine","isolation","distance","0.40"
"3433","swimmer kicks v. 2 (male)","glutes","body weight","hip_dominant","reps","0.50"
"3318","swing 360","cardiovascular system","body weight","isolation","time","0.40"
"2459","tire flip","glutes","tire","hip_dominant","reps","0.50"
"1466","twist hip lift","glutes","body weight","hip_dominant","reps","0.50"
"3231","two toe touch (male)","spine","body weight","hip_dominant","reps","0.50"
"1366","upward facing dog","spine","body weight","hip_dominant","reps","0.50"
"2141","walk elliptical cross trainer","cardiovascular system","elliptical machine","isolation","distance","0.40"
"3655","walking high knees lunge","cardiovascular system","body weight","knee_dominant","distance","0.50"
"3666","walking on incline treadmill","cardiovascular system","leverage machine","isolation","distance","0.40"
"2311","walking on stepmill","cardiovascular system","stepmill machine","isolation","distance","0.40"
"0835","weighted hyperextension (on stability ball)","spine","weighted","isolation","reps","0.60"
"3637","wheel run","cardiovascular system","body weight","isolation","distance","0.40"
"1604","world greatest stretch","hamstrings","body weight","hip_dominant","reps","0.50"
